date,station_id,precip_mm,mflag,qflag,sflag,excluded
1991-01-12,USC00410690,,P,,0,True
1991-01-12,USC00411337,,P,,0,True
1991-01-12,USC00411720,0.0,,,0,False
1991-01-12,USC00413063,0.0,,,0,False
1991-01-12,USC00413341,,P,,0,True
1991-01-12,USC00413508,,P,,0,True
1991-01-12,USC00414810,,P,,0,True
1991-01-12,USC00415661,,P,,0,True
1991-01-12,USC00417677,,P,,0,True
1991-01-12,USC00417704,0.0,,,0,False
1991-01-12,USC00418081,,P,,0,True
1991-01-12,USC00419007,0.0,,,0,False
1991-01-12,USC00419559,,,,,True
1991-01-12,USC00419717,0.0,,,0,False
1991-01-12,USW00012924,0.0,,,0,False
1991-01-12,USW00012926,0.0,,,X,False
1991-01-12,USW00012928,0.0,,,X,False
1991-01-13,USC00410639,,P,,0,True
1991-01-13,USC00410690,,P,,0,True
1991-01-13,USC00411337,,P,,0,True
1991-01-13,USC00411720,0.0,,,0,False
1991-01-13,USC00413063,0.0,,,0,False
1991-01-13,USC00413341,,P,,0,True
1991-01-13,USC00413508,,P,,0,True
1991-01-13,USC00414810,6.9,,,0,False
1991-01-13,USC00415661,,P,,0,True
1991-01-13,USC00417677,,P,,0,True
1991-01-13,USC00417704,0.0,,,0,False
1991-01-13,USC00418081,,P,,0,True
1991-01-13,USC00419007,0.0,,,0,False
1991-01-13,USC00419559,,,,,True
1991-01-13,USC00419717,0.0,,,0,False
1991-01-13,USW00012924,0.0,,,0,False
1991-01-13,USW00012926,0.0,,,X,False
1991-01-13,USW00012928,0.0,,,X,False
1991-01-14,USC00410639,,P,,0,True
1991-01-14,USC00410690,7.1,,,0,False
1991-01-14,USC00411337,0.3,,,0,False
1991-01-14,USC00411720,0.0,,,0,False
1991-01-14,USC00413063,0.0,,,0,False
1991-01-14,USC00413341,,P,,0,True
1991-01-14,USC00413508,,P,,0,True
1991-01-14,USC00414810,,P,,0,True
1991-01-14,USC00415661,,P,,0,True
1991-01-14,USC00417677,0.0,,,0,False
1991-01-14,USC00417704,0.0,,,0,False
1991-01-14,USC00418081,,P,,0,True
1991-01-14,USC00419007,0.0,,,0,False
1991-01-14,USC00419559,,,,,True
1991-01-14,USC00419717,0.0,T,,0,False
1991-01-14,USW00012924,4.8,,,0,False
1991-01-14,USW00012926,14.5,,,X,False
1991-01-14,USW00012928,6.4,,,X,False
1991-01-15,USC00410639,14.0,,,0,False
1991-01-15,USC00410690,,P,,0,True
1991-01-15,USC00411337,,P,,0,True
1991-01-15,USC00411720,1.3,,,0,False
1991-01-15,USC00413063,0.0,,,0,False
1991-01-15,USC00413341,,P,,0,True
1991-01-15,USC00413508,0.0,T,,0,False
1991-01-15,USC00414810,,P,,0,True
1991-01-15,USC00415661,6.9,,,0,False
1991-01-15,USC00417677,4.1,,,0,False
1991-01-15,USC00417704,23.1,,,0,False
1991-01-15,USC00418081,,P,,0,True
1991-01-15,USC00419007,1.0,,,0,False
1991-01-15,USC00419559,,P,,0,True
1991-01-15,USC00419717,0.0,,,0,False
1991-01-15,USW00012924,0.0,,,0,False
1991-01-15,USW00012926,0.0,,,X,False
1991-01-15,USW00012928,0.5,,,X,False
1991-01-16,USC00410639,,P,,0,True
1991-01-16,USC00410690,,P,,0,True
1991-01-16,USC00411337,,P,,0,True
1991-01-16,USC00411720,0.0,,,0,False
1991-01-16,USC00413063,0.0,,,0,False
1991-01-16,USC00413341,0.0,T,,0,False
1991-01-16,USC00413508,,P,,0,True
1991-01-16,USC00414810,,P,,0,True
1991-01-16,USC00415661,,P,,0,True
1991-01-16,USC00417677,0.0,,,0,False
